Date,Facets,Value,Units
09-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",1169.1397214,Rs. '000
10-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",975.6385398,Rs. '000
11-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",2266.5715182,Rs. '000
12-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",1837.9523655,Rs. '000
13-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",1651.1418503,Rs. '000
14-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",1105.2677414,Rs. '000
15-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",940.9637251,Rs. '000
16-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",1111.9004163,Rs. '000
17-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",711.3960777,Rs. '000
18-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",3553.5989617,Rs. '000
19-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",2551.885238,Rs. '000
20-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",1622.8068079,Rs. '000
21-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",1921.0955510000001,Rs. '000
22-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",1662.1349472,Rs. '000
23-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",1187.7457143,Rs. '000
24-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",900.5349831,Rs. '000
25-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Value""}",1773.1177834,Rs. '000
01-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",22.490009999999998,mn. transactions
02-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",25.399350000000002,mn. transactions
03-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",26.25276,mn. transactions
04-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",55.352199999999996,mn. transactions
05-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",26.410020000000003,mn. transactions
06-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",26.653370000000002,mn. transactions
07-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",26.487740000000002,mn. transactions
08-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",27.35397,mn. transactions
09-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",26.893790000000003,mn. transactions
10-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",25.800960000000003,mn. transactions
11-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",47.26049,mn. transactions
12-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",27.15493,mn. transactions
13-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",28.340159999999997,mn. transactions
